_id,ObjectId,ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
1742,1742,2019,D11,Crimes Against Property,Break & Enter-Commercial,185,40
1743,1743,2019,D11,Crimes Against Property,Break & Enter-House,86,7
1744,1744,2019,D11,Crimes Against Property,Break & Enter-Other,38,6
1745,1745,2018,D51,Crimes Against Property,Fraud,1007,155
1746,1746,2019,D51,Crimes Against Property,Theft Under $5000,6037,1050
1747,1747,2018,D51,Crimes Against Property,Other,1841,500
1748,1748,2019,D51,Crimes Against the Person,Assault,2025,1153
1749,1749,2018,D51,Crimes Against Property,Theft Over $5000,108,20
1750,1750,2019,D51,Crimes Against the Person,Attempt Murder,17,16
1751,1751,2018,D51,Crimes Against Property,Theft Under $5000,7256,1339
1752,1752,2019,D51,Crimes Against the Person,Other,274,138
1753,1753,2018,D51,Crimes Against the Person,Assault,1769,982
1754,1754,2019,D51,Crimes Against the Person,Robbery-Financial,1,1
1755,1755,2018,D51,Crimes Against the Person,Attempt Murder,15,9
1756,1756,2019,D51,Crimes Against the Person,Robbery-Other,328,121
1757,1757,2019,D51,Crimes Against the Person,Sexual Violation,245,114
1758,1758,2019,D51,Criminal Code Traffic,Other,97,90
1759,1759,2019,D51,Other Criminal Code Violations,Other,1463,1355
1760,1760,2019,D52,Crimes Against Property,Auto Theft,111,36
1761,1761,2019,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,51,43
1762,1762,2019,D11,Crimes Against Property,Fraud,482,70
1763,1763,2019,D23,Crimes Against Property,Theft Over $5000,95,17
1764,1764,2019,D52,Crimes Against Property,Break & Enter-Apartment,174,34
1765,1765,2019,D11,Crimes Against Property,Other,670,169
1766,1766,2019,D23,Crimes Against Property,Theft Under $5000,2151,436
1767,1767,2019,D52,Crimes Against Property,Break & Enter-Commercial,301,91
1768,1768,2019,D13,Other Federal Statute Violations,Other,7,7
1769,1769,2019,D11,Crimes Against Property,Theft Over $5000,59,9
1770,1770,2019,D23,Crimes Against the Person,Assault,869,544
1771,1771,2019,D52,Crimes Against Property,Break & Enter-House,15,8
1772,1772,2019,D14,Controlled Drugs and Substances Act,Other,149,136
1773,1773,2019,D11,Crimes Against Property,Theft Under $5000,2654,820
1774,1774,2019,D23,Crimes Against the Person,Attempt Murder,6,5
1775,1775,2019,D52,Crimes Against Property,Break & Enter-Other,38,14
1776,1776,2019,D14,Crimes Against Property,Auto Theft,189,36
1777,1777,2019,D11,Crimes Against the Person,Assault,707,477
1778,1778,2019,D23,Crimes Against the Person,Other,207,124
1779,1779,2019,D52,Crimes Against Property,Fraud,1327,162
1780,1780,2019,D14,Crimes Against Property,Break & Enter-Apartment,268,63
1781,1781,2019,D11,Crimes Against the Person,Other,170,97
1782,1782,2019,D23,Crimes Against the Person,Robbery-Financial,13,4
1783,1783,2019,D52,Crimes Against Property,Other,1190,405
1784,1784,2019,D14,Crimes Against Property,Break & Enter-Commercial,464,120
1785,1785,2019,D11,Crimes Against the Person,Robbery-Financial,2,2
1786,1786,2019,D23,Crimes Against the Person,Robbery-Other,198,81
1787,1787,2019,D52,Crimes Against Property,Theft Over $5000,141,27
1788,1788,2019,D14,Crimes Against Property,Break & Enter-House,106,16
1789,1789,2019,D11,Crimes Against the Person,Robbery-Other,134,72
1790,1790,2019,D23,Crimes Against the Person,Sexual Violation,130,86
1791,1791,2019,D52,Crimes Against Property,Theft Under $5000,5988,1764
1792,1792,2019,D14,Crimes Against Property,Break & Enter-Other,72,16
1793,1793,2019,D11,Crimes Against the Person,Sexual Violation,117,59
1794,1794,2019,D23,Criminal Code Traffic,Other,84,81
1795,1795,2019,D52,Crimes Against the Person,Assault,1459,883
1796,1796,2019,D14,Crimes Against Property,Fraud,1156,97
1797,1797,2019,D11,Criminal Code Traffic,Other,73,71
1798,1798,2019,D23,Other Criminal Code Violations,Other,371,343
1799,1799,2019,D52,Crimes Against the Person,Attempt Murder,6,4
1800,1800,2019,D14,Crimes Against Property,Other,1177,351
1801,1801,2019,D11,Other Criminal Code Violations,Other,702,637
1802,1802,2019,D23,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,60,53
1803,1803,2019,D52,Crimes Against the Person,Other,260,141
1804,1804,2019,D14,Crimes Against Property,Theft Over $5000,111,20
1805,1805,2019,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,86,76
1806,1806,2019,D23,Other Federal Statute Violations,Other,8,6
1807,1807,2019,D52,Crimes Against the Person,Robbery-Financial,7,7
1808,1808,2019,D14,Crimes Against Property,Theft Under $5000,4295,739
1809,1809,2019,D11,Other Federal Statute Violations,Other,9,7
1810,1810,2019,D31,Controlled Drugs and Substances Act,Other,78,72
1811,1811,2019,D52,Crimes Against the Person,Robbery-Other,153,69
1812,1812,2019,D14,Crimes Against the Person,Assault,1431,896
1813,1813,2019,D12,Controlled Drugs and Substances Act,Other,96,94
1814,1814,2019,D31,Crimes Against Property,Auto Theft,666,39
1815,1815,2019,D52,Crimes Against the Person,Sexual Violation,202,94
1816,1816,2019,D14,Crimes Against the Person,Attempt Murder,4,4
1817,1817,2019,D12,Crimes Against Property,Auto Theft,307,49
1818,1818,2019,D31,Crimes Against Property,Break & Enter-Apartment,112,29
1819,1819,2019,D52,Criminal Code Traffic,Other,81,76
1820,1820,2019,D52,Other Criminal Code Violations,Other,2549,1801
1821,1821,2019,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,171,162
1822,1822,2019,D52,Other Federal Statute Violations,Other,29,17
1823,1823,2019,D53,Controlled Drugs and Substances Act,Other,44,42
1824,1824,2019,D53,Crimes Against Property,Auto Theft,216,26
1825,1825,2019,D53,Crimes Against Property,Break & Enter-Apartment,243,36
1826,1826,2019,D53,Crimes Against Property,Break & Enter-Commercial,244,50
1827,1827,2019,D53,Crimes Against Property,Break & Enter-House,184,27
1828,1828,2019,D53,Crimes Against Property,Break & Enter-Other,43,12
1829,1829,2019,D53,Crimes Against Property,Fraud,953,73
1830,1830,2019,D53,Crimes Against Property,Other,611,134
1831,1831,2019,D53,Crimes Against Property,Theft Over $5000,97,13
1832,1832,2019,D53,Crimes Against Property,Theft Under $5000,3119,705
1833,1833,2019,D53,Crimes Against the Person,Assault,816,470
1834,1834,2019,D53,Crimes Against the Person,Other,174,81
1835,1835,2019,D53,Crimes Against the Person,Robbery-Financial,1,1
1836,1836,2019,D53,Crimes Against the Person,Robbery-Other,133,47
1837,1837,2019,D53,Crimes Against the Person,Sexual Violation,139,51
1838,1838,2019,D53,Criminal Code Traffic,Other,48,46
1839,1839,2019,D53,Other Criminal Code Violations,Other,452,379
1840,1840,2019,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,65,49
1841,1841,2019,D53,Other Federal Statute Violations,Other,6,5
1842,1842,2019,D54/D55,Controlled Drugs and Substances Act,Other,129,121
1843,1843,2019,D54/D55,Crimes Against Property,Auto Theft,240,27
1844,1844,2019,D54/D55,Crimes Against Property,Break & Enter-Apartment,216,52
1845,1845,2019,D54/D55,Crimes Against Property,Break & Enter-Commercial,251,56
1846,1846,2019,D54/D55,Crimes Against Property,Break & Enter-House,209,51
1847,1847,2019,D54/D55,Crimes Against Property,Break & Enter-Other,25,3
1848,1848,2019,D54/D55,Crimes Against Property,Fraud,873,90
1849,1849,2019,D54/D55,Crimes Against Property,Other,1229,353
1850,1850,2019,D54/D55,Crimes Against Property,Theft Over $5000,96,21
1851,1851,2018,D51,Crimes Against the Person,Other,369,188
1852,1852,2019,D14,Crimes Against the Person,Other,230,139
1853,1853,2019,D31,Crimes Against Property,Break & Enter-Commercial,173,40
1854,1854,2019,D12,Crimes Against Property,Break & Enter-Apartment,78,21
1855,1855,2018,D51,Crimes Against the Person,Robbery-Financial,7,7
1856,1856,2019,D14,Crimes Against the Person,Robbery-Financial,5,3
1857,1857,2019,D31,Crimes Against Property,Break & Enter-House,69,12
1858,1858,2019,D12,Crimes Against Property,Break & Enter-Commercial,110,27
1859,1859,2018,D51,Crimes Against the Person,Robbery-Other,389,132
1860,1860,2019,D14,Crimes Against the Person,Robbery-Other,170,63
1861,1861,2019,D31,Crimes Against Property,Break & Enter-Other,37,2
1862,1862,2019,D12,Crimes Against Property,Break & Enter-House,37,7
1863,1863,2018,D51,Crimes Against the Person,Sexual Violation,238,79
1864,1864,2019,D14,Crimes Against the Person,Sexual Violation,190,101
1865,1865,2019,D31,Crimes Against Property,Fraud,715,78
1866,1866,2019,D12,Crimes Against Property,Break & Enter-Other,21,7
1867,1867,2018,D51,Criminal Code Traffic,Other,70,67
1868,1868,2019,D14,Criminal Code Traffic,Other,116,111
1869,1869,2019,D31,Crimes Against Property,Other,728,277
1870,1870,2019,D12,Crimes Against Property,Fraud,388,69
1871,1871,2018,D51,Other Criminal Code Violations,Other,1316,1137
